NOVANAID	XUTM	YUTM	Z	Ave_WATLEV	DATE	COMP_LAYER
208.1722_1	727718	6170600	-5.58	-4.61	18-07-2008	3
208.2023_1	727578	6170839	-6.29	-2.05	11-08-2008	3
208.2034_1	728227	6170838	-5.3	-2.42	13-08-2008	3
208.2078_1	722745	6170415	-6.2	-1.16	16-08-2008	3
208.2080_1	722846	6170474	-6.6	-1.09	17-08-2008	3
208.2081_1	722906	6170456	-5.6	-1.09	18-08-2008	3
208.2082_1	722942	6170514	-5.6	-1.1	19-08-2008	3
208.2134_2	729548	6171068	0.8766	0.47	26-08-2008	3
208.2137_2	729671	6171015	0.53	0.6	27-08-2008	3
208.2284_1	730156	6170849	-5.0208	-0.22	3-09-2008	3
208.2287_1	730298	6170853	-6.1776	0.18	4-09-2008	3
208.2289_1	730333	6170843	-7.2	-0.5	5-09-2008	3
208.2292_1	722710	6172030	-6.0769	-0.2	7-09-2008	3
208.2969_1	727347	6170828	-1	-1.1	29-09-2008	3
208.3793_2	726506	6172014	-2.7977	-0.92	14-10-2008	3
208.3819_1	730283	6167491	-7	-1.2	16-10-2008	3
208.3819_2	730283	6167491	-0.5	-1.2	17-10-2008	3
208.3853_1	726532	6171207	-2	-2.3	22-10-2008	3
208.3857_1	726531	6171260	-1.6	-2.3	26-10-2008	3
208.3872_1	723565.86	6173448.26	-8	-6.5	5-11-2008	3
208.3873_1	723615.85	6173449.24	-9.2	-7.5	6-11-2008	3
208.3875_2	726507.13	6172018.38	-2.7977	-0.5	8-11-2008	3
208.3876_2	726532.87	6171981.38	-2.1	-0.2	10-11-2008	3
208.3877_2	726495	6171980	-2.8186	-0.6	12-11-2008	3
208.4181_1	718950.8	6171550.7	-3.697	-2.6	20-11-2008	3
210.574_1	658895	6150209	0.49	31.225	9-12-2008	3
210.668_1	660603	6149822	5	33.64	12-12-2008	3
210.754_1	659592	6153527	23.5167	33.2045	13-12-2008	3
210.787_1	661136	6142502	39.5754	44.42	14-12-2008	3
210.788_1	661150	6142516	39.5754	43.4	15-12-2008	3
210.789_1	661128	6142485	38.111	43.15	16-12-2008	3
210.790_1	661076	6142529	39.7807	42.88	17-12-2008	3
210.791_1	661136	6142502	39.5754	45.26	18-12-2008	3
211.454_1	667754	6150704	6.5	32.69	6-01-2009	3
